Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,Y,ARCHITECTURE-6d:G1,,7
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",Y,ARCHITECTURE-6d:G1,,4
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,Y,ARCHITECTURE-6d:G1,,7
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",Functional,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",Y,ARCHITECTURE-6d:G1,,7
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",Functional,intersects with,PR.AT-4,Senior executives understand their roles and responsibilities,Y,ARCHITECTURE-6d:G1,,7
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",Functional,intersects with,PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities,Y,ARCHITECTURE-6d:G1,,7
ARCHITECTURE-6e,Personnel performing activities in the ARCHITECTURE domain have the skills and knowledge needed to perform their assigned responsibilities,Semantic,subset of,PR.AT-1,All users are informed and trained,Y,,,5
ARCHITECTURE-6f,The effectiveness of activities in the ARCHITECTURE domain is evaluated and tracked,Functional,intersects with,PR.IP-7,Protection processes are improved,N,,,4
PROGRAM-1a,"The organization has a cybersecurity program strategy, which may be developed and managed in an ad hoc manner",Functional,intersects with,ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",N,,,4
PROGRAM-1b,The cybersecurity program strategy defines goals and objectives for the organization's cybersecurity activities,Semantic,intersects with,ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",N,,,6
PROGRAM-1c,"The cybersecurity program strategy and priorities are documented and aligned with the organization's mission, strategic objectives, and risk to critical infrastructure",Functional,intersects with,ID.BE-1,The organization’s role in the supply chain is identified and communicated,N,,,6
PROGRAM-1c,"The cybersecurity program strategy and priorities are documented and aligned with the organization's mission, strategic objectives, and risk to critical infrastructure",Semantic,intersects with,ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,N,,,7
PROGRAM-1c,"The cybersecurity program strategy and priorities are documented and aligned with the organization's mission, strategic objectives, and risk to critical infrastructure",Semantic,intersects with,ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",N,,,7
PROGRAM-1d,The cybersecurity program strategy defines the organization's approach to provide program oversight and governance for cybersecurity activities,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,7
PROGRAM-1d,The cybersecurity program strategy defines the organization's approach to provide program oversight and governance for cybersecurity activities,Semantic,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N,,,7
PROGRAM-1e,The cybersecurity program strategy defines the structure and organization of the cybersecurity program,Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",N,,,5
PROGRAM-1e,The cybersecurity program strategy defines the structure and organization of the cybersecurity program,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,7
PROGRAM-1e,The cybersecurity program strategy defines the structure and organization of the cybersecurity program,Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,N,,,6
PROGRAM-1f,The cybersecurity program strategy identifies standards and guidelines intended to be followed by the program,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,7
PROGRAM-1f,The cybersecurity program strategy identifies standards and guidelines intended to be followed by the program,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,6
PROGRAM-1f,The cybersecurity program strategy identifies standards and guidelines intended to be followed by the program,Semantic,intersects with,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,N,,,5
PROGRAM-1g,"The cybersecurity program strategy identifies any applicable compliance requirements that must be satisfied by the program (for example, NERC CIP, TSA Pipeline Security Guidelines, PCI DSS, ISO, DoD CMMC)",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,6
PROGRAM-1g,"The cybersecurity program strategy identifies any applicable compliance requirements that must be satisfied by the program (for example, NERC CIP, TSA Pipeline Security Guidelines, PCI DSS, ISO, DoD CMMC)",Semantic,intersects with,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,N,,,8
PROGRAM-1g,"The cybersecurity program strategy identifies any applicable compliance requirements that must be satisfied by the program (for example, NERC CIP, TSA Pipeline Security Guidelines, PCI DSS, ISO, DoD CMMC)",Semantic,intersects with,DE.DP-2,Detection activities comply with all applicable requirements,N,,,8
PROGRAM-1h,"The cybersecurity program strategy is updated periodically and according to defined triggers, such as business changes, changes in the operating environment, and changes in the threat profile (THREAT-2e)",,not related to,,,N,,,0
PROGRAM-2a,"Senior management with proper authority provides support for the cybersecurity program, at least in an ad hoc manner",,not related to,,,N,,,0
PROGRAM-2b,The cybersecurity program is established according to the cybersecurity program strategy,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,5
PROGRAM-2c,Senior management sponsorship for the cybersecurity program is visible and active,,not related to,,,N,,,0
PROGRAM-2d,"Senior management sponsorship is provided for the development, maintenance, and enforcement of cybersecurity policies",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,4
